timestamp,severity,message
"2023-08-18 12:00:01","INFO","User David logged in."
"2023-08-18 12:15:15","WARN","Disk space below 20%."
"2023-08-18 12:30:30","ERROR","Failed to write to file."
"2023-08-18 12:45:45","INFO","Security scan completed."
"2023-08-18 13:00:00","ERROR","Unauthorized login attempt."
"2023-08-18 13:15:15","INFO","User David logged out."
"2023-08-18 13:30:30","WARN","Disk space below 20%."
"2023-08-18 13:45:45","ERROR","Failed to write to file."
"2023-08-18 14:00:00","INFO","Security scan completed."
"2023-08-18 14:15:15","ERROR","Unauthorized login attempt."
"2023-08-18 14:30:30","INFO","User David logged in."
"2023-08-18 14:45:45","WARN","Disk space below 20%."
"2023-08-18 15:00:00","ERROR","Failed to write to file."
"2023-08-18 15:15:15","INFO","Security scan completed."
"2023-08-18 15:30:30","ERROR","Unauthorized login attempt."
"2023-08-18 15:45:45","INFO","User David logged out."
"2023-08-18 16:00:00","WARN","Disk space below 20%."
"2023-08-18 16:15:15","ERROR","Failed to write to file."
"2023-08-18 16:30:30","INFO","Security scan completed."
"2023-08-18 16:45:45","ERROR","Unauthorized login attempt."
"2023-08-18 17:00:00","INFO","User David logged in."
"2023-08-18 17:15:15","WARN","Disk space below 20%."
"2023-08-18 17:30:30","ERROR","Failed to write to file."
"2023-08-18 17:45:45","INFO","Security scan completed."
"2023-08-18 18:00:00","ERROR","Unauthorized login attempt."
"2023-08-18 18:15:15","INFO","User David logged out."
"2023-08-18 18:30:30","WARN","Disk space below 20%."
"2023-08-18 18:45:45","ERROR","Failed to write to file."
"2023-08-18 19:00:00","INFO","Security scan completed."
"2023-08-18 19:15:15","ERROR","Unauthorized login attempt."
"2023-08-18 19:30:30","INFO","User David logged in."
"2023-08-18 19:45:45","WARN","Disk space below 20%."
"2023-08-18 20:00:00","ERROR","Failed to write to file."
"2023-08-18 20:15:15","INFO","Security scan completed."
"2023-08-18 20:30:30","ERROR","Unauthorized login attempt."
"2023-08-18 20:45:45","INFO","User David logged out."
"2023-08-18 21:00:00","WARN","Disk space below 20%."
"2023-08-18 21:15:15","ERROR","Failed to write to file."
"2023-08-18 21:30:30","INFO","Security scan completed."
"2023-08-18 21:45:45","ERROR","Unauthorized login attempt."
"2023-08-18 22:00:00","INFO","User David logged in."
"2023-08-18 22:15:15","WARN","Disk space below 20%."
"2023-08-18 22:30:30","ERROR","Failed to write to file."
"2023-08-18 22:45:45","INFO","Security scan completed."
"2023-08-18 23:00:00","ERROR","Unauthorized login attempt."
"2023-08-18 23:15:15","INFO","User David logged out."
"2023-08-18 23:30:30","WARN","Disk space below 20%."
"2023-08-18 23:45:45","ERROR","Failed to write to file."
"2023-08-19 00:00:00","INFO","Security scan completed."
"2023-08-19 00:15:15","ERROR","Unauthorized login attempt."